1,"Adygea, Republic of",23
2,"Bashkortostan, Republic of","16,18,56,66,74,90"
3,"Buryatia, Republic of","17,38,75"
4,Altai Republic,"19,22,42,17"
5,"Dagestan, Republic of",20
6,"Ingushetia, Republic of",26.2
7,Kabardino-Balkar Republic,"9,26,6,23"
8,"Kalmykia, Republic of","20,2,61,34,30"
9,Karachay-Cherkess Republic,23.26
10,"Karelia, Republic of","78,47,35,29"
11,Komi Republic,"29,35,37,47,90,66,86,89,83"
12,Mari El Republic,"52,21,16,43"
13,"Mordovia, Republic of","62,58,73,21,52"
14,Sakha (Yakutia) Republic,"24,38,75,28,27,49,87"
15,"North Ossetia-Alania, Republic of",6.2
16,"Tatarstan, Republic of","12,43,18,2,56,63,73,21"
17,Tuva Republic,"4,19,24,38,3"
18,Udmurt Republic,"2,16,43,90"
19,"Khakassia, Republic of","4,42,24,17"
21,Chuvash Republic,"16,73,13,52,12"
22,Altai Krai,"54,42,4"
75,Zabaykalsky Krai,"3,38,14,28"
41,Kamchatka Krai,49.87
23,Krasnodar Krai,"1,9,26,61"
24,Krasnoyarsk Krai,"89,86,70,42,19,17,38,14"
90,Perm Krai,"43,11,66,2,18"
25,Primorsky Krai,27
26,Stavropol Krai,"6,20,8,61,23,9,7"
27,Khabarovsk Krai,"25,79,28,14,49,!65!"
28,Amur Oblast,"79,27,14,75"
29,Arkhangelsk Oblast,"10,35,43,11,83"
30,Astrakhan Oblast,8.34
31,Belgorod Oblast,36.46
32,Bryansk Oblast,"67,40,57,46"
33,Vladimir Oblast,"62,52,44,76,50"
34,Volgograd Oblast,"8,30,61,36,64"
35,Vologda Oblast,"10,29,43,47,76,69,53,47,10,29"
36,Voronezh Oblast,"31,46,48,68,64,34,61"
37,Ivanovo Oblast,"35,43,52,44,76"
38,Irkutsk Oblast,"3,17,24,14,75"
39,Kaliningrad Oblast,
40,Kaluga Oblast,"71,57,32,67,50"
42,Kemerovo Oblast,"22,4,19,24,70,54"
43,Kirov Oblast,"16,18,90,11,29,35,37,52,12"
44,Kostroma Oblast,"33,52,37,76"
45,Kurgan Oblast,"74,66,72"
46,Kursk Oblast,"31,36,48,57,32"
47,Leningrad Oblast,"35,10,78,53"
48,Lipetsk Oblast,"46,57,71,62,68,36"
49,Magadan Oblast,"14,87,41,27"
50,Moscow Oblast,"71,40,77,67,69,76,33,62"
51,Murmansk Oblast,10
52,Nizhny Novgorod Oblast,"13,21,12,43,37,44,33,62"
53,Novgorod Oblast,"60,78,47,35,69"
54,Novosibirsk Oblast,"55,70,42,22"
55,Omsk Oblast,"72,86,70,54"
56,Orenburg Oblast,"64,63,2,74"
57,Oryol Oblast,"46,32,40,71,48"
58,Penza Oblast,"64,68,62,13,73"
60,Pskov Oblast,"78,53,69,67"
61,Rostov Oblast,"23,26,8,34,36"
62,Ryazan Oblast,"68,48,71,50,33,52,13,58"
63,Samara Oblast,"64,73,16,56"
64,Saratov Oblast,"34,36,68,58,73,63"
65,Sakhalin Oblast,
66,Sverdlovsk Oblast,"2,90,,11,86,72,45,74"
67,Smolensk Oblast,"60,69,50,40,32"
68,Tambov Oblast,"36,48,62,58,64"
69,Tver Oblast,"60,53,35,76,50,67"
70,Tomsk Oblast,"86,24,42,54,55"
71,Tula Oblast,"40,50,62,48,57"
72,Tyumen Oblast,"45,66,86,55"
73,Ulyanovsk Oblast,"64,58,13,21,16,63"
74,Chelyabinsk Oblast,"56,2,66,45"
76,Yaroslavl Oblast,"69,35,37,44,33,50"
77,Moscow,50
78,Saint Petersburg,"10,47,53,60"
79,Jewish Autonomous Oblast,"28,27,25"
83,Nenets Autonomous Okrug,"29,11,89"
86,Khanty–Mansi Autonomous Okrug – Yugra,"11,89,24,70,55,72,66"
87,Chukotka Autonomous Okrug,"49,41,14"
89,Yamalo-Nenets Autonomous Okrug,"83,11,86,24"
82,"Crimea, Republic of[d]",
92,Sevastopol[d],
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
